id	lexicalForm	sub-type	type	Alt tür	Grup	flags	rules	surfaces	emptySurface	Zemberek Karşılığı	Oflazer Karşılığı	Örnekler	İstisnalar	Açıklama
IY_ISIM_CU	CU	D	D	IIY			DONUSUM_U, DONUSUM_C, 	cı, ci, cu, cü, çı, çi, çu, çü, 		ISIM_ILGI_CI	NND_CI	oyuncu, ekmekçi, bilgisayarcı, muhallebici, büyücü, sanatçı, tavukçu, gözlükçü		
IY_ISIM_KUCULTME_CUK	CUk	D	D	IIY			DONUSUM_U, DONUSUM_C, YUMUSAMA_kğ, 	cık, cik, cuk, cük, çık, çik, çuk, çük, cığ, ciğ, cuğ, cüğ, çığ, çiğ, çuğ, çüğ, 		ISIM_KUCULTME_CIK	NND_CIK	adamcık, yavrucuk, kimsecik, gölcük, kulakçık, Mehmetçik, Umutçuk, öğütçük, adamcığa, kimseciği, yavrucuğu, gölcüğe, kulakçığı, Mehmetçiğin, Umutçuğa, öğütçüğün		
IY_ISIM_lUK	lUk	D	D	IIY			DONUSUM_U, YUMUSAMA_kğ, 	lık, lik, luk, lük, lığ, liğ, luğ, lüğ, nluk		ISIM_BULUNMA_LIK	NND_LIK	gözlük, gecelik, uykuluk, parmaklık, yemekliği, parmaklığa, uykuluğun, gözlüğüm		
IY_SIFAT_(U)msU	UmsU	D	D	ISY			DUSME_UNLU, DONUSUM_U, 	msı, msi, msu, msü, ımsı, imsi, umsu, ümsü, yumsu, 		ISIM_ANDIRMA_IMSI	JJD_IMSI	tatlımsı, mavimsi, hamurumsu, sertimsi, ağacımsı, bordomsu, kükürdümsü, göğümsü		
IY_SIFAT_lU	lU	D	D	ISY			DONUSUM_U, 	lı, li, lu, lü, nlu		ISIM_BULUNMA_LI	JND_LI	tatlı, sesli, uslu, Asyalı, Anamurlu, türlü		
IY_SIFAT_sAl	sAl	D	D	ISY			DONUSUM_A, 	sal, sel, 		ISIM_ILISKILI_SEL	JND_SAL	sorunsal, biçimsel, toplumsal		
IY_SIFAT_sU	sU	D	D	ISY			DONUSUM_U,	sı, si, su, sü, 		ISIM_ANDIRMA_SI	JND_MSI	erkeksi, yılansı, çocuksu, köksü, büyüksü, sütsü		
IY_SIFAT_sUz	sUz	NI	D	ISY			DONUSUM_U, 	sız, siz, suz, süz, nsuz		ISIM_YOKLUK_SIZ	JND_SIZ	tatsız, evsiz, sonsuz, köksüz, annemsiz, acımasız, bakımsız 		
IY_ZARF_CA	CA	NI	D	IZY			DONUSUM_C, DONUSUM_A, 	ca, ce, ça, çe, nca, nce 		ISIM_GIBI_CE	NJD_CA	güzelce, akıllıca, ufakça, büyükçe, dostça, sınıfça, ailece, akrabaca, milletçe, bence, kanaatimce		
IY_ZARF_CAsInA	CAsInA	D	D	IZY			DONUSUM_C, DONUSUM_A, DONUSUM_I, 	casına, cesine, çasına, çesine, 		FIIL_GIBI_CESINE		delicesine, akıllıcasına, hoşçasına, mertçesine		
YANSIMA_DONUSUM_dA	dA	D	D	YFY			DONUSUM_A, 	da, de, dı, di, du, dü		YANKI_DONUSUM_DA	VND_DA	parıldamak, höpürdemek		tU (yansıma) isimden isim yapma eki ilave edilmeli! Parıl-tı, gürül-tü… Birkaç kelime dışında yansıma kelimelere getirilir. Genellikle -l, -r, -y ünsüzleriyle biten kelimelere getirilir.
YANSIMA_DONUSUM_tU	tU	D	D	YIY			DONUSUM_U, 	tı, ti, tu, tü, 		YANKI_DONUSUM_TI		parıltı, uğultu, kütürtü, fingirti		
SAYI_SIRA_(U)ncU	UncU	D	D	SSY			DUSME_UNLU, DONUSUM_U, 	ncı, nci, ıncı, inci, uncu, üncü, 		SAYI_SIRA_INCI	JND_INCI	birinci, ikinci, üçüncü, altıncı, bir milyarıncı, sekizinci, dokuzuncu		Sayılar dışında, yine sıra ifade eden birkaç kelimede de görülebilir: Kaçıncı, ortancı…
SAYI_ULESTIRME_(ş)Ar	şAr	D	D	SSY			DUSME_UNSUZ, DONUSUM_A, 	şar, şer, ar, er, 		SAYI_ULESTIRME_ER	JND_SER	birer, ikişer, dokuzar, altışar		Ünlü ile biten sayı sıfatlarından sonra şAr, ünsüzle bitenlerden sonra Ar gelir. Üleştirme/paylaştırma anlamı katar.
SORU_mU	_mU	I	I				DONUSUM_U, ALTTIRE_KALDIR	_mı, _mi, _mu, _mü		SORU_KOK		mısın, miydin, müyüz, muşsunuz	Bu ekten önce boşluk eki gelir.	
BAGLAC_dA	_dA	I	I				DONUSUM_A, ALTTIRE_KALDIR	_da, _de						
