root	surfaces	lex	Anlam	active	Id	flags	rules	Ekler	AltTür	Dil	BüyükHarf	FY_EDILGEN_(U)n	FY_EDILGEN_Ul	Geçişlilik	E-hali
soluklan					FIIL	fiil				Türkçe					
solungaç	solungac				ISIM	isim	YUMUSAMA_çc	cı	hayvan bilimi	Türkçe	Hayır				
solunum					ISIM	isim									
solüsyon					ISIM	isim			kimya	Fransızca	Hayır				
som					ISIM	isim					Hayır				
som					ISIM	isim			hayvan bilimi	Fransızca	Hayır				
som					ISIM	isim					Hayır				
som					SIFAT	sıfat				Türkçe	Hayır				
soma					ISIM	isim				Rumca	Hayır				
Soma					OZEL	özel			ilçe		Evet				
somak	somağ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
somaki					ISIM	isim			mineraloji	Arapça	Hayır				
Somali					OZEL	özel			ülke		Evet				
somata					ISIM	isim				Rumca	Hayır				
somnambulizm					ISIM	isim				Fransızca	Hayır				
somon					ISIM	isim			hayvan bilimi	Fransızca	Hayır				
somun					ISIM	isim				Rumca	Hayır				
somun					ISIM	isim			teknik	Fransızca	Hayır				
somur					FIIL	fiil, ettirtgen_t				Türkçe	Hayır		E	Evet	
somurt					FIIL	fiil				Türkçe					
somurtkan					SIFAT	sıfat				Türkçe	Hayır				
somurtuk	somurtuğ				SIFAT	sıfat	YUMUSAMA_kğ	ğu		Türkçe	Hayır				
somut					SIFAT	sıfat				Türkçe	Hayır				
somya					ISIM	isim				Fransızca	Hayır				
son					SIFAT	sıfat				Türkçe	Hayır				
sonar					ISIM	isim				İngilizce	Hayır				
sonat					ISIM	isim			müzik	Fransızca	Hayır				
sonbahar					ISIM	isim				Tr-Fa	Hayır				
soncul					SIFAT	sıfat				Türkçe	Hayır				
sonda					ISIM	isim			teknik	İtalyanca	Hayır				
sondaj					ISIM	isim				Fransızca	Hayır				
sondala	sondalı				FIIL	fiil									
sone					ISIM	isim			edebiyat	Fransızca	Hayır				
sonra					ISIM	isim, zaman				Türkçe	Hayır				
sonuç	sonuc				ISIM	isim	YUMUSAMA_çc	cu		Türkçe	Hayır				
sonuçla	sonuçlu				FIIL	fiil				Türkçe					
sonuçlan					FIIL	fiil				Türkçe					
sonuçlandır					FIIL	fiil				Türkçe					
sonuncu					SIFAT	sıfat									
sonurgu					ISIM	isim			felsefe	Türkçe	Hayır				
sonurtu					ISIM	isim			mantık	Türkçe	Hayır				
sonuşmaz					ISIM	isim			matematik	Türkçe	Hayır				
sopa					ISIM	isim				Türkçe	Hayır				
sopala	sopalı				FIIL	fiil				Türkçe					
soprano					ISIM	isim			müzik	İtalyanca	Hayır				
sopsoğuk	sopsoğuğ				SIFAT	sıfat	YUMUSAMA_kğ			Türkçe	Hayır				
sor					FIIL	fiil, genis_Ar		ar		Türkçe	Hayır		E	Evet	
sor			Dudakları uzatıp soluğu kuvvetle çekerek emmek.	F	FIIL	fiil, genis_Ar		ar		Türkçe	Hayır			Evet	
sorgu					ISIM	isim				Türkçe	Hayır				
sorguç	sorguc				ISIM	isim	YUMUSAMA_çc	cu		Türkçe	Hayır				
sorgula	sorgulu				FIIL	fiil				Türkçe					
sorgun					ISIM	isim			bitki bilimi	Türkçe	Hayır				
Sorgun					OZEL	özel			ilçe	Türkçe	Evet				
sorit					ISIM	isim			mantık	Fransızca	Hayır				
sormuk	sormuğ				ISIM	isim	YUMUSAMA_kğ	ğu		Türkçe	Hayır				
sorti					ISIM	isim			teknik	Fransızca	Hayır				
soru					ISIM	isim				Türkçe	Hayır				
soru				F	FIIL	fiil				Türkçe	Hayır			Evet	
sorum					ISIM	isim									
sorun					ISIM	isim				Türkçe	Hayır				
soruştur					FIIL	fiil, ettirgen_t				Türkçe	Hayır		E	Evet	
sorutkan					SIFAT	sıfat				Türkçe	Hayır				
sorutma					ISIM	isim				Türkçe	Hayır				
sos					ISIM	isim				Fransızca	Hayır				
sosis					ISIM	isim				Fransızca	Hayır				
sosyal		sosyál			SIFAT	sıfat	OZEL_INCELME_A	li		Fransızca	Hayır				
sosyalist					ISIM	isim			toplum bilimi	Fransızca	Hayır				
sosyalistik	sosyalistiğ				SIFAT	sıfat	YUMUSAMA_kğ	ği		Fransızca	Hayır				
sosyalizasyon					ISIM	isim			eğitim bilimi	Fransızca	Hayır				
sosyalizm					ISIM	isim			toplum bilimi	Fransızca	Hayır				
sosyete					ISIM	isim				Fransızca	Hayır				
sosyetik	sosyetiğ				SIFAT	sıfat	YUMUSAMA_kğ	ği		Fransızca	Hayır				
sosyoekonomik	sosyoekonomiğ				SIFAT	sıfat	YUMUSAMA_kğ			Fransızca	Hayır				
sosyokültürel					SIFAT	sıfat				Fransızca	Hayır				
sosyolengüistik	sosyolengüistiğ				ISIM	isim	YUMUSAMA_kğ	ği		Fransızca	Hayır				
sosyolog	sosyoloğ				ISIM	isim	YUMUSAMA_gğ	ğu	toplum bilimi	Fransızca	Hayır				
sosyoloji					ISIM	isim			toplum bilimi	Fransızca	Hayır				
sosyolojik	sosyolojiğ				SIFAT	sıfat	YUMUSAMA_kğ			Fransızca	Hayır				
sosyolojizm					ISIM	isim				Fransızca	Hayır				
sote					ISIM	isim				Fransızca	Hayır				
sovhoz					ISIM	isim				Rusça	Hayır				
Sovyet					OZEL	özel			siyaset bilimi	Fransızca	Evet				
soy					ISIM	isim				Türkçe	Hayır				
soy					FIIL	fiil, genis_Ar		ar		Türkçe	Hayır		E	Evet	
soya					ISIM	isim			bitki bilimi	Fransızca	Hayır				
soyad					TAMLAMA	isim				Türkçe	Hayır				
soydaş					ISIM	isim				Türkçe	Hayır				
soygun					ISIM	isim				Türkçe	Hayır				
soyka					ISIM	isim				Türkçe	Hayır				
soyka					ISIM	isim			hayvan bilimi	Bulgarca	Hayır				
soykırım					ISIM	isim			toplum bilimi	Türkçe	Hayır				
soymuk	soymuğ				ISIM	isim	YUMUSAMA_kğ	ğu	bitki bilimi	Türkçe	Hayır				
soytarı					ISIM	isim				Arapça	Hayır				
soyun					FIIL	fiil				Türkçe					
soyuntu					ISIM	isim				Türkçe	Hayır				
soyut					SIFAT	sıfat			felsefe	Türkçe	Hayır				
soyutla	soyutlu				FIIL	fiil			felsefe	Türkçe					
söbe					SIFAT	sıfat				Türkçe	Hayır				
söğürme					ISIM	isim				Türkçe	Hayır				
söğüş					ISIM	isim				Türkçe	Hayır				
söğüt	söğüd				ISIM	isim	YUMUSAMA_td	dü	bitki bilimi	Türkçe	Hayır				
Söğüt					OZEL	özel		t'ü	ilçe	Türkçe	Evet				
söğütgiller					ISIM	isim			bitki bilimi	Türkçe	Hayır				
Söğütlü					OZEL	özel			ilçe	Türkçe	Evet				
sök					FIIL	fiil, genis_Ar		er		Türkçe	Hayır		E	Evet	
Söke					OZEL	özel			ilçe	Türkçe	Evet				
sökel					SIFAT	sıfat				Türkçe	Hayır				
sökük	söküğ				SIFAT	sıfat	YUMUSAMA_kğ	ğü		Türkçe	Hayır				
sökül					FIIL	fiil				Türkçe					
söküm					ISIM	isim									
sökün					ISIM	isim				Türkçe	Hayır				
söküntü					ISIM	isim				Türkçe	Hayır				
sölenterler					ISIM	isim			hayvan bilimi		Hayır				
sölom					ISIM	isim				Fransızca	Hayır				
sölpü					FIIL	fiil				Türkçe	Hayır			Hayır	
sömestir					ISIM	isim			eğitim bilimi	Fransızca	Hayır				
sömikok					ISIM	isim			madencilik	Fransızca	Hayır				
sömür					FIIL	fiil, ettirtgen_t				Türkçe	Hayır		E	Evet	
sömürge					ISIM	isim				Türkçe	Hayır				
sömürgen					ISIM	isim				Türkçe	Hayır				
sömürü					ISIM	isim				Türkçe	Hayır				
sön					FIIL	fiil, genis_Ar		er		Türkçe	Hayır		E	Hayır	
söndür					FIIL	fiil				Türkçe					
sönük	sönüğ				SIFAT	sıfat	YUMUSAMA_kğ	ğü		Türkçe	Hayır				
sönüm					ISIM	isim									
sönümle	sönümlü				FIIL	fiil			fizik	Türkçe					
sör					ISIM	isim				Fransızca	Hayır				
sör					ISIM	isim				İngilizce	Hayır				
sörf					ISIM	isim			spor	İngilizce	Hayır				
söv					FIIL	fiil, genis_Ar		er		Türkçe	Hayır		E	Hayır	
söve					ISIM	isim				Türkçe	Hayır				
söve					ISIM	isim			mimarlık	Fransızca	Hayır				
söven					ISIM	isim				Türkçe	Hayır				
sövgü					ISIM	isim				Türkçe	Hayır				
sövüş					FIIL	fiil									
söyle	söylü				FIIL	fiil				Türkçe	Hayır	E		Evet	
söylem					ISIM	isim									
söylemse	söylemsi			F	FIIL	fiil				Türkçe	Hayır			Hayır	
söylen					FIIL	fiil				Türkçe					
söylence					ISIM	isim				Türkçe	Hayır				
söylenti					ISIM	isim				Türkçe	Hayır				
söyleş					FIIL	fiil									
söyleşi					ISIM	isim				Türkçe	Hayır				
söylev					ISIM	isim				Türkçe	Hayır				
söz					ISIM	isim				Türkçe	Hayır				
sözel					SIFAT	sıfat				Türkçe	Hayır				
sözgötürmez					SIFAT	sıfat				Türkçe	Hayır				
sözlen					FIIL	fiil				Türkçe					
sözleş					FIIL	fiil				Türkçe					
sözleşme					ISIM	isim				Türkçe	Hayır				
sözünübilmez					SIFAT	sıfat				Türkçe	Hayır				
spagetti					ISIM	isim				İtalyanca	Hayır				
spastik	spastiğ				ISIM	isim	YUMUSAMA_kğ	ği		Fransızca	Hayır				
spatula					ISIM	isim			teknik	İtalyanca	Hayır				
spazm					ISIM	isim			tıp	Fransızca	Hayır				
spektroskop	spektroskob				ISIM	isim	YUMUSAMA_pb	bu	fizik	Fransızca	Hayır				
spektroskopi					ISIM	isim				Fransızca	Hayır				
spektrum					ISIM	isim				İngilizce	Hayır				
spekülasyon					ISIM	isim			ticaret	Fransızca	Hayır				
spekülatif					SIFAT	sıfat			felsefe	Fransızca	Hayır				
spekülatör					SIFAT	sıfat			ticaret	Fransızca	Hayır				
sperm					ISIM	isim			fizyoloji	Fransızca	Hayır				
sperma					ISIM	isim			fizyoloji	İtalyanca	Hayır				
spermatozoit	spermatozoid				ISIM	isim	YUMUSAMA_td	di	anatomi	Fransızca	Hayır				
spesifik	spesifiğ				SIFAT	sıfat	YUMUSAMA_kğ			Fransızca	Hayır				
spesiyal		spesiyál			SIFAT	sıfat	OZEL_INCELME_A	li		Fransızca	Hayır				
spesiyalist					SIFAT	sıfat				Fransızca	Hayır				
spesiyalite					ISIM	isim				Fransızca	Hayır				
spiker					ISIM	isim				Fransızca	Hayır				
spiral		spirál			SIFAT	sıfat	OZEL_INCELME_A	li		Fransızca	Hayır				
spiril					ISIM	isim			biyoloji	Fransızca	Hayır				
spiritüalizm					ISIM	isim			felsefe	Fransızca	Hayır				
spiritüel					SIFAT	sıfat				Fransızca	Hayır				
sponsor					ISIM	isim			ekonomi	Fransızca	Hayır				
spontane					SIFAT	sıfat				Fransızca	Hayır				
spontaneizm					ISIM	isim				Fransızca	Hayır				
spor					ISIM	isim				Fransızca	Hayır				
spor					ISIM	isim			bitki bilimi	Fransızca	Hayır				
sporlan					FIIL	fiil			biyoloji						
sporsever					SIFAT	sıfat				Fransızca	Hayır				
sportif					SIFAT	sıfat				Fransızca	Hayır				
sportmen					ISIM	isim				Fransızca	Hayır				
spot					ISIM	isim				İngilizce	Hayır				
sprey					ISIM	isim				İngilizce	Hayır				
Sri Lanka					OZEL	özel			ülke						
stabil					SIFAT	sıfat				Fransızca	Hayır				
stabilizasyon					ISIM	isim				Fransızca	Hayır				
stabilizatör					ISIM	isim				Fransızca	Hayır				
stabilize					SIFAT	sıfat				Fransızca	Hayır				
stadya					ISIM	isim				Fransızca	Hayır				
stadyum					ISIM	isim			spor	Latince	Hayır				
stafilokok					ISIM	isim			biyoloji	Fransızca	Hayır				
stagflasyon					ISIM	isim			ekonomi	Fransızca	Hayır				
staj					ISIM	isim				Fransızca	Hayır				
stajyer					ISIM	isim				Fransızca	Hayır				
stalagmit					ISIM	isim			mineraloji	Fransızca	Hayır				
stalaktit					ISIM	isim			mineraloji	Fransızca	Hayır				
standardizasyon					ISIM	isim				Fransızca	Hayır				
standart	standard				SIFAT	sıfat	YUMUSAMA_td	dı		Fransızca	Hayır				
stant	stand				ISIM	isim	YUMUSAMA_td	dı		İngilizce	Hayır				
star					ISIM	isim				İngilizce	Hayır				
start					ISIM	isim			spor	İngilizce	Hayır				
stat	stad				ISIM	isim	YUMUSAMA_td	dı	spor	Fransızca	Hayır				
statik	statiğ				ISIM	isim	YUMUSAMA_kğ	ği	fizik	Fransızca	Hayır				
statolit					ISIM	isim			anatomi	Fransızca	Hayır				
stator					ISIM	isim			fizik	Fransızca	Hayır				
statosist					ISIM	isim			anatomi	Fransızca	Hayır				
statü					ISIM	isim				Fransızca	Hayır				
statüko					ISIM	isim				Fransızca	Hayır				
stearik	steariğ				ISIM	isim	YUMUSAMA_kğ	ği	kimya	Fransızca	Hayır				
stearin					ISIM	isim			kimya	Fransızca	Hayır				
sten					ISIM	isim			askerlik	İngilizce	Hayır				
sten					ISIM	isim			fizik	Fransızca	Hayır				
steno					ISIM	isim				Fransızca	Hayır				
stenograf					ISIM	isim				Fransızca	Hayır				
stenografi					ISIM	isim				Fransızca	Hayır				
stenotip					ISIM	isim				Fransızca	Hayır				
stent	stend				ISIM	isim	YUMUSAMA_td	di	tıp	İngilizce	Hayır				
step	steb				ISIM	isim	YUMUSAMA_pb	bi	coğrafya	Fransızca	Hayır				
stepne					ISIM	isim				İngilizce	Hayır				
ster					ISIM	isim				Fransızca	Hayır				
steradyan					ISIM	isim				Fransızca	Hayır				
stereofoni					ISIM	isim				Fransızca	Hayır				
stereofonik	stereofoniğ				SIFAT	sıfat	YUMUSAMA_kğ			Fransızca	Hayır				
stereografi					ISIM	isim			fizik	Fransızca	Hayır				
stereografik	stereografiğ				SIFAT	sıfat	YUMUSAMA_kğ			Fransızca	Hayır				
stereoskop	stereoskob				ISIM	isim	YUMUSAMA_pb	bu		Fransızca	Hayır				
stereoskopik	stereoskopiğ				SIFAT	sıfat	YUMUSAMA_kğ			Fransızca	Hayır				
stereotip					ISIM	isim				Fransızca	Hayır				
steril					SIFAT	sıfat				Fransızca	Hayır				
sterilizasyon					ISIM	isim			tıp	Fransızca	Hayır				
sterilize					SIFAT	sıfat				Fransızca	Hayır				
sterlin					ISIM	isim				İngilizce	Hayır				
sterol		steról			ISIM	isim	OZEL_INCELME_O	lü	kimya	Fransızca	Hayır				
stetoskop	stetoskob				ISIM	isim	YUMUSAMA_pb	bu	tıp	Fransızca	Hayır				
steyşın					ISIM	isim				İngilizce	Hayır				
stil					ISIM	isim			edebiyat	Fransızca	Hayır				
stilist					ISIM	isim				Fransızca	Hayır				
stilistik	stilistiğ				ISIM	isim	YUMUSAMA_kğ	ği	dil bilimi	Fransızca	Hayır				
stilo					ISIM	isim				Fransızca	Hayır				
stoacı					ISIM	isim			felsefe		Hayır				
stok					ISIM	isim				İngilizce	Hayır				
stokla	stoklu				FIIL	fiil									
stop					UNLEM	ünlem				İngilizce	Hayır				
stopaj					ISIM	isim				Fransızca	Hayır				
stor					ISIM	isim				Fransızca	Hayır				
stratej					ISIM	isim				Fransızca	Hayır				
strateji					ISIM	isim				Fransızca	Hayır				
stratejik	stratejiğ				SIFAT	sıfat	YUMUSAMA_kğ			Fransızca	Hayır				
stratigrafi					ISIM	isim			jeoloji	Fransızca	Hayır				
stratosfer					ISIM	isim			gök bilimi	Fransızca	Hayır				
stratus					ISIM	isim			meteoroloji	Latince	Hayır				
streç	strec				SIFAT	sıfat	YUMUSAMA_çc	ci		İngilizce	Hayır				
streptokok					ISIM	isim			tıp	Fransızca	Hayır				
streptomisin					ISIM	isim			tıp	Fransızca	Hayır				
stres					ISIM	isim			tıp	İngilizce	Hayır				
striknin					ISIM	isim			kimya	Fransızca	Hayır				
striptiz					ISIM	isim				İngilizce	Hayır				
stronsiyum					ISIM	isim			kimya	Fransızca	Hayır				
strüktür					ISIM	isim				Fransızca	Hayır				
strüktüralist					ISIM	isim				Fransızca	Hayır				
strüktüralizm					ISIM	isim				Fransızca	Hayır				
strüktürel					SIFAT	sıfat				Fransızca	Hayır				
stüdyo					ISIM	isim				Fransızca	Hayır				
su	suy	su			ISIM	isim	OZEL_su	yu		Türkçe	Hayır				
sual		suál			ISIM	isim	OZEL_INCELME_A	li		Arapça	Hayır				
suare					ISIM	isim				Fransızca	Hayır				
subasar					ISIM	isim				Türkçe	Hayır				
subasman					ISIM	isim			mimarlık	Fransızca	Hayır				
subaşı					ISIM	isim			tarih	Türkçe	Hayır				
subay					ISIM	isim			askerlik	Türkçe	Hayır				
subjektif					SIFAT	sıfat				Fransızca	Hayır				
subjektivist					ISIM	isim			felsefe	Fransızca	Hayır				
subjektivite					ISIM	isim				Fransızca	Hayır				
subjektivizm					ISIM	isim			felsefe	Fransızca	Hayır				
subra					ISIM	isim				Fransızca	Hayır				
subret					ISIM	isim			tiyatro	Fransızca	Hayır				
subtropik	subtropiğ				SIFAT	sıfat	YUMUSAMA_kğ			İngilizce	Hayır				
subye					ISIM	isim				Fransızca	Hayır				
sucuk	sucuğ				ISIM	isim	YUMUSAMA_kğ	ğu		Türkçe	Hayır				
sucul					SIFAT	sıfat				Türkçe	Hayır				
suç					ISIM	isim				Türkçe	Hayır				
suçiçeği					ISIM	isim			tıp	Türkçe	Hayır				
suçla	suçlu				FIIL	fiil				Türkçe					
suçüstü					ISIM	isim			hukuk	Türkçe	Hayır				
sudak	sudağ				ISIM	isim	YUMUSAMA_kğ	ğı	hayvan bilimi	Türkçe	Hayır				
Sudan					OZEL	özel			ülke		Evet				
sufle					ISIM	isim			tiyatro	Fransızca	Hayır				
suflör					ISIM	isim			tiyatro	Fransızca	Hayır				
suflöz					ISIM	isim				Fransızca	Hayır				
sugötürmez					SIFAT	sıfat				Türkçe	Hayır				
suhulet					ISIM	isim				Arapça	Hayır				
suhunet					ISIM	isim				Arapça	Hayır				
suibriğigiller					ISIM	isim			bitki bilimi		Hayır				
suikast					ISIM	isim				Arapça	Hayır				
suiniyet					ISIM	isim				Arapça	Hayır				
suistimal		suistimál			ISIM	isim	OZEL_INCELME_A	li		Arapça	Hayır				
suizan	suizann				ISIM	isim	CIFTLESME_SON_UNSUZ	nnı		Arapça	Hayır				
sukut					ISIM	isim				Arapça	Hayır				
sukutuhayal		sukutuhayál			ISIM	isim	OZEL_INCELME_A	li		Arapça	Hayır				
sula	sulu				FIIL	fiil				Türkçe					
sulak	sulağ				SIFAT	sıfat	YUMUSAMA_kğ								
Sulakyurt					OZEL	özel		t'u	ilçe	Türkçe	Evet				
sulantı					ISIM	isim				Türkçe	Hayır				
sulfata					ISIM	isim				Fransızca	Hayır				
sulh					ISIM	isim				Arapça	Hayır				
sulhperver					SIFAT	sıfat				Ar-Fa	Hayır				
sulhsever					SIFAT	sıfat				Ar-Tr	Hayır				
sulp	sulb				ISIM	isim	YUMUSAMA_pb	bü		Arapça	Hayır				
sulta					ISIM	isim				Arapça	Hayır				
sultan					ISIM	isim			tarih	Arapça	Hayır				
Sultanbeyli					OZEL	özel			ilçe	Ar-Tr	Evet				
Sultandağı					OZEL	özel			ilçe	Ar-Tr	Evet				
Sultanhisar					OZEL	özel			ilçe	Arapça	Evet				
sultani					SIFAT	sıfat				Arapça	Hayır				
sultanibuselik	sultanibuseliğ				ISIM	isim	YUMUSAMA_kğ	ği	müzik		Hayır				
sultanihüzzam					ISIM	isim			müzik	Arapça	Hayır				
sultaniyegah		sultaniyegâh			ISIM	isim, şapkasız	SAPKA_DUSUR_A		müzik	Ar-Fa	Hayır				
sultaniyegâh					ISIM	isim, şapkalı			müzik	Ar-Fa	Hayır				
sultanoğul					TAMLAMA	isim			tarih	Ar-Tr	Hayır				
sulugözlü					SIFAT	sıfat				Türkçe	Hayır				
Suluova					OZEL	özel			ilçe	Türkçe	Evet				
Sulusaray					OZEL	özel			ilçe	Tr-Fa	Evet				
suma					ISIM	isim				Rumca	Hayır				
sumak	sumağ				ISIM	isim	YUMUSAMA_kğ	ğı	bitki bilimi	Arapça	Hayır				
Sumbas					OZEL	özel			ilçe		Evet				
sumo					ISIM	isim			spor						
sumsuk	sumsuğ				ISIM	isim	YUMUSAMA_kğ	ğu		Türkçe	Hayır				
sumsukla	sumsuklu				FIIL	fiil				Türkçe					
sun					FIIL	fiil, genis_Ar		ar		Türkçe	Hayır		E	Evet	
suna					ISIM	isim				Moğolca	Hayır				
sunak	sunağ				ISIM	isim	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
sungu					ISIM	isim				Türkçe	Hayır				
sungur					ISIM	isim				Türkçe	Hayır				
Sungurlu					OZEL	özel			ilçe	Türkçe	Evet				
suni					SIFAT	sıfat				Arapça	Hayır				
sunta					ISIM	isim				Arapça	Hayır				
suntıraç	suntırac				ISIM	isim	YUMUSAMA_çc	cı		Farsça	Hayır				
sunturlu					SIFAT	sıfat					Hayır				
sunu					ISIM	isim				Türkçe	Hayır				
sunucu					ISIM	isim				Türkçe	Hayır				
sunum					ISIM	isim									
suok					TAMLAMA	isim	YUMUSAMA_kğ		bitki bilimi	Türkçe	Hayır				
suokugiller					ISIM	isim			bitki bilimi	Türkçe	Hayır				
suölçer					ISIM	isim				Türkçe	Hayır				
sup					ISIM	isim				Fransızca	Hayır				
supangle					ISIM	isim				Fransızca	Hayır				
supap	supab				ISIM	isim	YUMUSAMA_pb	bı	teknik	Fransızca	Hayır				
supara					ISIM	isim				Farsça	Hayır				
superi					TAMLAMA	isim			bitki bilimi		Hayır				
sur					ISIM	isim				Arapça	Hayır				
sur					ISIM	isim					Hayır				
sura					ISIM	isim					Hayır				
surat					ISIM	isim				Arapça	Hayır				
sure					ISIM	isim			din bilgisi	Arapça	Hayır				
suret					ISIM	isim				Arapça	Hayır				
sureta					ZARF	zarf				Arapça	Hayır				
Surinam					OZEL	özel			ülke						
Suriye					OZEL	özel			ülke		Evet				
Suruç					OZEL	özel		ç'u	ilçe		Evet				
sus					FIIL	fiil, genis_Ar		ar		Türkçe	Hayır		E	Hayır	
susa	susu				FIIL	fiil				Türkçe	Hayır	E		Hayır	
susak	susağ				SIFAT	sıfat	YUMUSAMA_kğ	ğı		Türkçe	Hayır				
susam					ISIM	isim			bitki bilimi	Arapça	Hayır				
susamgiller					ISIM	isim			bitki bilimi		Hayır				
susku					ISIM	isim				Türkçe	Hayır				
suskun					SIFAT	sıfat				Türkçe	Hayır				
suspus					SIFAT	sıfat				Türkçe	Hayır				
susta					ISIM	isim				İtalyanca	Hayır				
susta					ISIM	isim				Rumca	Hayır				
sustur					FIIL	fiil				Türkçe					
Susurluk					OZEL	özel		k'u	ilçe		Evet				
Susuz					OZEL	özel			ilçe	Türkçe	Evet				
Suşehri					OZEL	özel			ilçe		Evet				
suşerit					TAMLAMA	isim			bitki bilimi		Hayır				
suşi					ISIM	isim				Japonca	Hayır				
sut					ISIM	isim			kimya	Fransızca	Hayır				
sutaş					ISIM	isim				Fransızca	Hayır				
sutaş					TAMLAMA	isim				Türkçe	Hayır				
sutyen					ISIM	isim				Fransızca	Hayır				
Suudi Arabistan					OZEL	özel			ülke						
suvar					FIIL	fiil, ettirtgen_t				Türkçe	Hayır		E	Evet	
suvarım					ISIM	isim									
suvat					ISIM	isim				Türkçe	Hayır				
suyol					TAMLAMA	isim				Türkçe	Hayır				
suyuk	suyuğ				ISIM	isim	YUMUSAMA_kğ	ğu	biyoloji	Türkçe	Hayır				
suzeni					ISIM	isim				Farsça	Hayır				
suzidil					ISIM	isim			müzik	Farsça	Hayır				
suzidilara					ISIM	isim			müzik	Farsça	Hayır				
suzinak					ISIM	isim			müzik	Farsça	Hayır				
sübek	sübeğ				ISIM	isim	YUMUSAMA_kğ	ği		Türkçe	Hayır				
süblime					ISIM	isim			kimya	Fransızca	Hayır				
süblimleş					FIIL	fiil			kimya		Hayır		E	Hayır	
sübut					ISIM	isim				Arapça	Hayır				
sübvanse					ISIM	isim				Fransızca	Hayır				
sübvansiyon					ISIM	isim			ekonomi	Fransızca	Hayır				
sübyan					ISIM	isim				Arapça	Hayır				
sübye					ISIM	isim			hayvan bilimi	Rumca	Hayır				
sücut	sücud				ISIM	isim	YUMUSAMA_td	du		Arapça	Hayır				
südre	südri				FIIL	fiil				Türkçe	Hayır		E	Hayır	
süet					ISIM	isim				Fransızca	Hayır				
süfli					SIFAT	sıfat				Arapça	Hayır				
Süheyl					OZEL	özel			gök bilimi/yıldız	Arapça	Evet				
süit					ISIM	isim			müzik	Fransızca	Hayır				
süje					ISIM	isim				Fransızca	Hayır				
sükse					ISIM	isim				Fransızca	Hayır				
sükun		sükûn			ISIM	isim, şapkasız	SAPKA_DUSUR_U			Arapça	Hayır				
sükûn					ISIM	isim, şapkalı				Arapça	Hayır				
sükunet		sükûnet			ISIM	isim, şapkasız	SAPKA_DUSUR_U			Arapça	Hayır				
sükûnet					ISIM	isim, şapkalı				Arapça	Hayır				
sükut		sükût			ISIM	isim, şapkasız	SAPKA_DUSUR_U			Arapça	Hayır				
sükût					ISIM	isim, şapkalı				Arapça	Hayır				
sükuti		sükûti			SIFAT	sıfat, şapkasız	SAPKA_DUSUR_U			Arapça	Hayır				
sükûti					SIFAT	sıfat, şapkalı				Arapça	Hayır				
sülale					ISIM	isim				Arapça	Hayır				
sülf					ISIM	isim			kimya	Latince	Hayır				
sülfamit					ISIM	isim			kimya	Fransızca	Hayır				
sülfat					ISIM	isim			kimya	Fransızca	Hayır				
sülfit					ISIM	isim			kimya	Fransızca	Hayır				
sülfür					ISIM	isim			kimya	Fransızca	Hayır				
sülfürik	sülfüriğ				ISIM	isim	YUMUSAMA_kğ	ği	kimya	Fransızca	Hayır				
sülfürimetre					ISIM	isim				Fransızca	Hayır				
sülfürle	sülfürli				FIIL	fiil			kimya						
süline					ISIM	isim			hayvan bilimi	Rumca	Hayır				
Süloğlu					OZEL	özel			ilçe		Evet				
süluk		süluk			ISIM	isim	OZEL_INCELME_U	kü		Arapça	Hayır				
sülüğen					ISIM	isim				Türkçe	Hayır				
sülük	sülüğ				ISIM	isim	YUMUSAMA_kğ	ğü	hayvan bilimi	Türkçe	Hayır				
sülümen					ISIM	isim			kimya	Arapça	Hayır				
sülün					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
sülüngiller					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
sülüs					SIFAT	sıfat				Arapça	Hayır				
sümbül					ISIM	isim			bitki bilimi	Farsça	Hayır				
sümbüle					ISIM	isim			müzik	Arapça	Hayır				
sümbüli					SIFAT	sıfat				Farsça	Hayır				
sümbülteber					ISIM	isim			bitki bilimi	Farsça	Hayır				
sümek	sümeğ				ISIM	isim	YUMUSAMA_kğ	ği		Türkçe	Hayır				
sümen					ISIM	isim				Fransızca	Hayır				
Sümer					OZEL	özel			tarih/halk		Evet				
Sümerce					ISIM	isim, sıfat									
Sümerolog					OZEL	özel		ğu	bilim terimi	Fransızca	Evet				
Sümeroloji					OZEL	özel			bilim dalı	Fransızca	Evet				
Sümerolojik	Sümerolojiğ				SIFAT	sıfat	YUMUSAMA_kğ			Fransızca	Evet				
sümkür					FIIL	fiil, ettirtgen_t				Türkçe	Hayır		E	Hayır	
sümmettedarik	sümmettedariğ				SIFAT	sıfat	YUMUSAMA_kğ			Arapça	Hayır				
sümsük	sümsüğ				ISIM	isim	YUMUSAMA_kğ	ğü	hayvan bilimi	Türkçe	Hayır				
sümsük	sümsüğ				SIFAT	sıfat	YUMUSAMA_kğ	ğü		Türkçe	Hayır				
sümsükgiller					ISIM	isim			hayvan bilimi	Türkçe	Hayır				
sümter					ISIM	isim			bitki bilimi		Hayır				
sümük	sümüğ				ISIM	isim	YUMUSAMA_kğ	ğü		Türkçe	Hayır				
sün					FIIL	fiil, genis_Ar		er		Türkçe	Hayır		E	Hayır	
sündür					FIIL	fiil				Türkçe					
